segment_key,rank,driver_feature,effect_gap,hypothesis
At Risk | Active | Multi Product,1,total_amount,189.84087640449457,"In segment 'At Risk | Active | Multi Product', higher total_amount is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | Active | Multi Product,2,txn_events,0.7674157303370777,"In segment 'At Risk | Active | Multi Product', higher txn_events is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | Active | Multi Product,3,partner_id_partner_02,0.17640449438202246,"In segment 'At Risk | Active | Multi Product', higher partner_id_partner_02 is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | At Risk | Dual Product,1,tenure_days,28.695926131190845,"In segment 'At Risk | At Risk | Dual Product', higher tenure_days is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | At Risk | Dual Product,2,days_since_last_active,1.0402785014286806,"In segment 'At Risk | At Risk | Dual Product', higher days_since_last_active is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | At Risk | Dual Product,3,risk_score,0.3870180439242268,"In segment 'At Risk | At Risk | Dual Product', higher risk_score is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | At Risk | Multi Product,1,total_amount,72.08725247142411,"In segment 'At Risk | At Risk | Multi Product', higher total_amount is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | At Risk | Multi Product,2,tenure_days,32.17794253938837,"In segment 'At Risk | At Risk | Multi Product', higher tenure_days is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | At Risk | Multi Product,3,days_since_last_active,0.8467330861909232,"In segment 'At Risk | At Risk | Multi Product', higher days_since_last_active is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | At Risk | Single Product,1,days_since_last_active,2.491775369458125,"In segment 'At Risk | At Risk | Single Product', higher days_since_last_active is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | At Risk | Single Product,2,support_intensity,0.43824439396026604,"In segment 'At Risk | At Risk | Single Product', higher support_intensity is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | At Risk | Single Product,3,risk_score,0.30928633558226615,"In segment 'At Risk | At Risk | Single Product', higher risk_score is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | Dormant | Dual Product,1,tenure_days,20.89932892588331,"In segment 'At Risk | Dormant | Dual Product', higher tenure_days is associated with higher churn risk; test a targeted intervention focused on this driver."
At Risk | Dormant | Dual Product,2,days_since_last_active,14.512127125731809,"In segment 'At Risk | Dormant | Dual Product', higher days_since_last_active is associated with higher churn risk; test a targeted intervention focused on this driver."
