churn_probability,segment_label
0.31475229271487004,At Risk
0.16517575945183305,At Risk
0.35811100708394206,Potential Loyalists
0.13435858638189968,Potential Loyalists
0.06838742354382853,Potential Loyalists
0.3410278519742276,Potential Loyalists
0.12164216365115131,High Value
0.3049167904340631,High Value
0.39643169673205353,At Risk
0.3154867425600344,At Risk
0.48596906759517616,At Risk
0.4613130385356119,Low Value
0.33654887545364753,Potential Loyalists
0.2872687765845615,Potential Loyalists
0.2506740891795585,High Value
0.08482241933663524,Potential Loyalists
0.5350729761789089,At Risk
0.3690727633418468,Potential Loyalists
0.39633175377854934,Potential Loyalists
0.2110378456567916,At Risk
0.08986026057805448,High Value
0.4485602213678914,At Risk
0.1494978433030699,High Value
0.09880003800824917,Potential Loyalists
0.12115296412818051,Potential Loyalists
0.28098923646690876,Potential Loyalists
0.22322997701325387,At Risk
0.258173874552102,Potential Loyalists
0.18644456083153332,Potential Loyalists
0.1679428425470291,Potential Loyalists
0.32382041139568385,Potential Loyalists
0.15447021837364436,Potential Loyalists
0.10139946385989781,Potential Loyalists
0.23181650455648883,High Value
0.5131591484030006,At Risk
0.2085599246819202,At Risk
0.12254625247454762,Potential Loyalists
0.181355799931944,Potential Loyalists
0.23428897723138048,Potential Loyalists
0.26180249185132154,Potential Loyalists
0.10263039855998728,At Risk
0.2096915494095769,Potential Loyalists
0.3740045764838951,At Risk
0.2034776313028332,Potential Loyalists
0.09059679797995202,At Risk
0.2713997421728872,High Value
0.25058000648634543,At Risk
0.2585253368783926,Potential Loyalists
0.3864576648127223,Potential Loyalists
0.19847804923191553,Potential Loyalists
0.16634737161553304,At Risk
0.37213630574309775,At Risk
0.33531806322689134,Potential Loyalists
0.2663111220876513,Potential Loyalists
0.15002472827049196,At Risk
0.4329374743703623,Potential Loyalists
0.42019799908541866,At Risk
0.20387560977270436,High Value
0.30242806398639294,Potential Loyalists
0.1404962814247366,Potential Loyalists
0.1922575786586464,Potential Loyalists
0.31838261488820013,Potential Loyalists
0.3871130689070026,Potential Loyalists
0.15742965255024227,Potential Loyalists
0.17466184046591374,Potential Loyalists
0.18094305482903972,High Value
0.24240328636363964,High Value
0.1814611583877451,High Value
0.08424896189046668,Potential Loyalists
0.14330676447003768,High Value
0.5437476240767687,At Risk
0.3503133946288262,At Risk
0.24322059374318436,Potential Loyalists
0.24459839957419527,At Risk
0.2502692694697244,At Risk
0.4980247650669797,Potential Loyalists
0.3002999409878127,Potential Loyalists
0.19176567165977823,High Value
0.1826810806948499,Potential Loyalists
0.5843718504428448,At Risk
0.29935292111013095,Low Value
0.350583532684633,At Risk
0.13690232538589758,Potential Loyalists
0.2865542162579797,Potential Loyalists
0.12959428645498475,Potential Loyalists
0.18080049469025192,High Value
0.21485683926013688,At Risk
0.15358210533736422,At Risk
0.17830296876065052,High Value
